#Name	HomeValue2000	Income1999	Poverty1999	PopDensity2000	PopChange	Prcnt65+	Below18	PrcntFemale2000	PrcntHSgrads2000	PrcntCollege2000	Unemployed	PrcntBelow18	LifeExpectancy	FarmAcres
FL Pasco	79600	18439	10.7	344765	5.2	26.8	69514	52	77.6	13.1	4249	20.2	76.9	161939
FL Pinellas	96500	23497	10	921482	0.3	22.5	177533	52.4	84	22.9	12698	19.3	76.6	1895
FL Polk	83300	18302	12.9	483924	1.8	18.3	118205	50.9	74.8	14.9	9711	24.4	75.7	621489
FL Putnam	68500	15603	20.9	70423	0.6	18.5	17304	50.6	70.4	9.4	1395	24.6	73.6	85794
FL St.Johns	158400	28674	8	123135	6.9	15.9	28399	51.4	87.2	33.1	1476	23.1	76.1	49631
FL St.Lucie	86100	18790	13.4	192695	3.8	22.7	43583	51.2	77.7	15.1	6993	22.6	75.9	227414
FL Santa Rosa	106000	20089	9.8	117743	4.6	11	31269	49.8	85.4	22.9	2067	26.6	75.8	87971
FL Sarasota	122000	28326	7.8	325957	2.9	31.5	52827	52.6	87.1	27.4	3247	16.2	78.3	128655
FL Seminole	119900	24591	7.4	365196	2.5	10.6	92606	51	88.7	31	5794	25.4	77.4	37222
FL Sumter	100400	16830	13.7	53345	2.2	27.4	8570	46.9	77.3	12.2	392	16.1	74.7	183374
FL Suwannee	68500	14678	18.5	34844	2.4	16.9	8369	51.2	73.2	10.5	520	24	73.6	158406
FL Taylor	66000	15281	18	19256	-0.1	14.1	4731	48.9	70	8.9	525	24.6	72.6	56784
FL Union	71700	12333	14	13442	1.7	7.5	2937	35.3	72.5	7.5	90	21.8	71.6	62503
FL Volusia	87300	19664	11.6	443343	2.5	22.1	89862	51.4	82	17.6	5382	20.3	76.3	111502
FL Wakulla	96200	17678	11.3	22863	8.3	10.3	5864	48.2	78.4	15.7	331	25.6	76	11426
FL Walton	96400	18198	14.4	40601	5	15.8	8795	48.7	76	16.2	579	21.7	74	78844
FL Washington	70000	14980	19.2	20973	1	15.7	4905	48.6	71.2	9.2	393	23.4	73.9	55268
GA Appling	63700	15044	18.6	17419	0.3	11.8	4729	50.7	67.3	8.4	814	27.1	72.3	107573
GA Atkinson	46700	12178	23	7609	-0.5	9.3	2308	50.5	56.3	6.9	206	30.3	71.9	62779
GA Bacon	56500	14289	23.7	10103	-1.1	12.8	2648	51	67.7	6.6	308	26.2	72.3	70445
GA Baker	62700	16969	23.4	4074	0.7	13.7	1113	53.7	66	10.7	113	27.3	72.6	119192
GA Baldwin	79800	16271	16.8	44700	0.2	10.6	9721	46	72.6	16.2	1057	21.7	73.6	30344
GA Banks	92400	17424	12.5	14422	2.9	10.5	3776	49.5	65.4	8.6	237	26.2	74.8	47447
